customer_id,lat,lng,population,area,timezone,children,age,income,marital,churn,gender,tenure,monthlycharge,bandwidth_gb_year,outage_sec_perweek,email,contacts,yearly_equip_failure,techie,port_modem,tablet,job_id,payment_id,contract_id,location_id
1,56.251,-133.37571,38,Urban,America/Sitka,0,68,28561.99,Widowed,No,Male,6.795512947,172.455519,904.5361102,7.978322947,10,0,1,No,Yes,Yes,Environmental health practitioner,Credit Card (automatic),One year,99927
2,44.32893,-84.2408,10446,Urban,America/Detroit,1,27,21704.77,Married,Yes,Female,1.156680997,242.632554,800.9827661,11.69907956,12,0,1,Yes,No,Yes,"Programmer, multimedia",Bank Transfer(automatic),Month-to-month,48661
3,45.35589,-123.24657,3735,Urban,America/Los_Angeles,4,50,9609.57,Widowed,No,Female,15.75414408,159.947583,2054.706961,10.75280028,9,0,1,Yes,Yes,No,Chief Financial Officer,Credit Card (automatic),Two Year,97148
4,32.96687,-117.24798,13863,Suburban,America/Los_Angeles,1,48,18925.23,Married,No,Male,17.08722662,119.95684,2164.579412,14.91353964,15,2,0,Yes,No,No,Solicitor,Mailed Check,Two Year,92014
5,29.38012,-95.80673,11352,Suburban,America/Chicago,0,83,40074.19,Separated,Yes,Male,1.670971726,149.948316,271.4934362,8.147416533,16,2,1,No,Yes,No,Medical illustrator,Mailed Check,Month-to-month,77461
6,32.57032,-83.8904,17701,Urban,America/New_York,3,83,22660.2,Never Married,No,Female,7.000993555,185.007692,1039.357983,8.420992898,15,3,1,No,Yes,No,Chief Technology Officer,Electronic Check,One year,31030
7,36.4342,-84.27892,2535,Suburban,America/New_York,0,79,11467.5,Widowed,Yes,Male,13.23677381,200.118516,1907.242972,11.18272453,10,0,1,Yes,No,No,"Surveyor, hydrographic",Electronic Check,Month-to-month,37847
8,35.43313,-97.52463,23144,Suburban,America/Chicago,2,30,26759.64,Married,Yes,Female,4.26425515,114.950905,979.6127078,7.791632265,16,0,0,Yes,No,No,Sales promotion account executive,Mailed Check,Month-to-month,73109
9,28.27646,-81.16273,17351,Suburban,America/New_York,2,49,58634.51,Separated,No,Nonbinary,8.220686373,117.468591,1312.874964,5.739005915,20,2,3,No,Yes,No,Teaching laboratory technician,Bank Transfer(automatic),Month-to-month,34771
10,39.19296,-84.4523,20193,Rural,America/New_York,1,86,50231.4,Married,No,Female,3.422086139,162.482694,508.7637913,8.707823904,18,1,0,No,Yes,No,Museum education officer,Mailed Check,Two Year,45237
11,41.95142,-76.10744,555,Urban,America/New_York,7,23,22580.7,Separated,No,Female,19.26726194,174.958118,2728.767869,9.341631685,9,0,2,No,No,No,"Teacher, special educational needs",Mailed Check,Month-to-month,18830
12,18.3041,-66.32847,33372,Rural,America/Puerto_Rico,2,56,18342.12,Married,No,Female,10.52199781,149.962093,1180.588788,6.68082638,17,1,1,No,Yes,No,Maintenance engineer,Electronic Check,Month-to-month,783
13,41.37287,-91.36865,556,Rural,America/Chicago,0,83,83671.08,Divorced,No,Male,13.01149229,137.439154,1196.388018,8.273875452,9,0,0,No,Yes,No,"Engineer, broadcasting (operations)",Bank Transfer(automatic),Month-to-month,52739
14,44.43256,-70.11501,0,Urban,America/New_York,5,29,115114.57,Separated,No,Female,16.87922024,184.971516,1948.694497,5.880565591,14,1,0,No,Yes,Yes,Learning disability nurse,Bank Transfer(automatic),Two Year,4228
15,41.86752,-87.90222,8165,Urban,America/Chicago,1,30,64256.81,Separated,Yes,Male,10.06019902,159.965581,1582.295235,11.79073041,10,3,0,No,No,No,Automotive engineer,Bank Transfer(automatic),Month-to-month,60162
16,45.92342,-89.50138,2093,Suburban,America/Chicago,3,39,89061.45,Divorced,Yes,Male,13.87001293,177.65076,1840.014467,10.79846973,13,1,0,No,No,No,Amenity horticulturist,Electronic Check,One year,54558
17,37.62326,-120.99637,50079,Urban,America/Los_Angeles,0,63,31659.3,Married,Yes,Female,15.78214958,194.966286,2070.376729,13.52284721,13,1,0,No,Yes,No,Applications developer,Bank Transfer(automatic),Month-to-month,95351
18,34.90636,-78.98944,7249,Rural,America/New_York,2,60,44142.81,Separated,Yes,Male,2.303331273,202.682861,882.0985933,9.831166695,16,3,0,No,No,No,Immunologist,Mailed Check,Two Year,28371
19,35.2091,-89.50332,9463,Rural,America/Chicago,3,61,39262.14,Widowed,No,Female,17.10995632,152.490739,1833.0967,9.57470568,11,1,0,Yes,Yes,No,"Engineer, electrical",Bank Transfer(automatic),Two Year,38060
20,33.84469,-86.6974,3177,Rural,America/Chicago,3,23,19494.75,Divorced,Yes,Male,12.80615845,149.944668,1954.080809,10.92246098,10,1,0,No,Yes,No,Broadcast presenter,Credit Card (automatic),Month-to-month,35172
21,41.83594,-88.5206,69,Rural,America/Chicago,4,38,39624.21,Never Married,No,Male,20.45390977,184.978458,2330.319383,12.06889188,14,0,3,No,No,No,Counsellor,Bank Transfer(automatic),Month-to-month,60144
