location_id,zip,city,state,county
1,99927,Point Baker,AK,Prince of Wales-Hyder
2,48661,West Branch,MI,Ogemaw
3,97148,Yamhill,OR,Yamhill
4,92014,Del Mar,CA,San Diego
5,77461,Needville,TX,Fort Bend
6,31030,Fort Valley,GA,Peach
7,37847,Pioneer,TN,Scott
8,73109,Oklahoma City,OK,Oklahoma
9,34771,Saint Cloud,FL,Osceola
10,45237,Cincinnati,OH,Hamilton
11,18830,Little Meadows,PA,Susquehanna
12,783,Corozal,PR,Corozal
13,52739,Conesville,IA,Muscatine
14,4228,East Livermore,ME,Androscoggin
15,60162,Hillside,IL,Cook
16,54558,Saint Germain,WI,Vilas
17,95351,Modesto,CA,Stanislaus
18,28371,Parkton,NC,Robeson
19,38060,Oakland,TN,Fayette
20,35172,Trafford,AL,Blount
21,60144,Kaneville,IL,Kane
22,43215,Columbus,OH,Franklin
23,50562,Mallard,IA,Palo Alto
24,4694,Baileyville,ME,Washington
25,45176,Williamsburg,OH,Clermont
26,32086,Saint Augustine,FL,St. Johns
27,87325,Tohatchi,NM,McKinley
28,48133,Erie,MI,Monroe
29,5660,Moretown,VT,Washington
30,20902,Silver Spring,MD,Montgomery
31,13492,Whitesboro,NY,Oneida
32,43556,Sherwood,OH,Defiance
33,98572,Pe Ell,WA,Lewis
34,49883,Seney,MI,Schoolcraft
35,60921,Chatsworth,IL,Livingston
36,49224,Albion,MI,Calhoun
37,6447,Marlborough,CT,Hartford
38,7848,Lafayette,NJ,Sussex
39,20017,Washington,DC,District of Columbia
40,18917,Dublin,PA,Bucks
41,8738,Mantoloking,NJ,Ocean
42,16682,Sproul,PA,Blair
43,73458,Springer,OK,Carter
44,15748,Homer City,PA,Indiana
45,10035,New York,NY,New York
46,49881,Sagola,MI,Dickinson
47,61606,Peoria,IL,Peoria
48,98220,Acme,WA,Whatcom
49,37416,Chattanooga,TN,Hamilton
50,58341,Harvey,ND,Wells
51,35072,Goodwater,AL,Coosa
52,27292,Lexington,NC,Davidson
53,71286,Transylvania,LA,East Carroll
54,50551,Jolley,IA,Calhoun
55,68858,Miller,NE,Buffalo
56,24801,Welch,WV,McDowell
57,77511,Alvin,TX,Brazoria
58,93117,Goleta,CA,Santa Barbara
59,53403,Racine,WI,Racine
60,31011,Chauncey,GA,Dodge
61,74455,Porum,OK,Muskogee
62,61734,Delavan,IL,Tazewell
63,18618,Harveys Lake,PA,Luzerne
64,85925,Eagar,AZ,Apache
65,27805,Aulander,NC,Hertford
66,95245,Mokelumne Hill,CA,Calaveras
67,60090,Wheeling,IL,Cook
68,64772,Nevada,MO,Vernon
69,79364,Slaton,TX,Lubbock
70,82716,Gillette,WY,Campbell
71,97470,Roseburg,OR,Douglas
72,44133,North Royalton,OH,Cuyahoga
73,43907,Cadiz,OH,Harrison
74,59242,Homestead,MT,Sheridan
75,92131,San Diego,CA,San Diego
76,90303,Inglewood,CA,Los Angeles
77,20119,Catlett,VA,Fauquier
78,42274,Rockfield,KY,Warren
79,62631,Concord,IL,Morgan
80,56345,Little Falls,MN,Morrison
81,32804,Orlando,FL,Orange
82,15348,Millsboro,PA,Washington
83,49881,Sagola,MI,Dickinson
84,42757,Magnolia,KY,Hart
85,67448,Gypsum,KS,Saline
