payment_id,payment_type
1,Credit Card (automatic)
2,Bank Transfer(automatic)
3,Credit Card (automatic)
4,Mailed Check
5,Mailed Check
6,Electronic Check
7,Electronic Check
8,Mailed Check
9,Bank Transfer(automatic)
10,Mailed Check
11,Mailed Check
12,Electronic Check
13,Bank Transfer(automatic)
14,Bank Transfer(automatic)
15,Bank Transfer(automatic)
16,Electronic Check
17,Bank Transfer(automatic)
18,Mailed Check
19,Bank Transfer(automatic)
20,Credit Card (automatic)
21,Bank Transfer(automatic)
22,Bank Transfer(automatic)
23,Electronic Check
24,Electronic Check
25,Credit Card (automatic)
26,Bank Transfer(automatic)
27,Mailed Check
28,Electronic Check
29,Bank Transfer(automatic)
30,Credit Card (automatic)
31,Credit Card (automatic)
32,Electronic Check
33,Electronic Check
34,Electronic Check
35,Mailed Check
36,Mailed Check
37,Credit Card (automatic)
38,Electronic Check
39,Credit Card (automatic)
40,Electronic Check
41,Mailed Check
42,Electronic Check
43,Credit Card (automatic)
44,Electronic Check
45,Credit Card (automatic)
46,Electronic Check
47,Bank Transfer(automatic)
48,Credit Card (automatic)
49,Bank Transfer(automatic)
50,Electronic Check
51,Bank Transfer(automatic)
52,Credit Card (automatic)
53,Electronic Check
54,Credit Card (automatic)
55,Mailed Check
56,Mailed Check
57,Electronic Check
58,Mailed Check
59,Credit Card (automatic)
60,Electronic Check
61,Mailed Check
62,Electronic Check
63,Mailed Check
64,Mailed Check
65,Electronic Check
66,Bank Transfer(automatic)
67,Bank Transfer(automatic)
68,Bank Transfer(automatic)
69,Electronic Check
70,Credit Card (automatic)
71,Electronic Check
72,Bank Transfer(automatic)
73,Bank Transfer(automatic)
74,Electronic Check
75,Bank Transfer(automatic)
76,Electronic Check
77,Electronic Check
78,Bank Transfer(automatic)
79,Mailed Check
80,Credit Card (automatic)
81,Electronic Check
82,Credit Card (automatic)
83,Mailed Check
84,Credit Card (automatic)
85,Bank Transfer(automatic)
86,Credit Card (automatic)
87,Bank Transfer(automatic)
88,Electronic Check
89,Electronic Check
90,Bank Transfer(automatic)
91,Mailed Check
92,Mailed Check
93,Electronic Check
94,Electronic Check
95,Mailed Check
96,Credit Card (automatic)
97,Electronic Check
98,Mailed Check
99,Mailed Check
100,Electronic Check
101,Credit Card (automatic)
102,Bank Transfer(automatic)
103,Mailed Check
104,Electronic Check
105,Mailed Check
106,Electronic Check
107,Credit Card (automatic)
108,Bank Transfer(automatic)
109,Bank Transfer(automatic)
110,Electronic Check
111,Bank Transfer(automatic)
112,Credit Card (automatic)
113,Mailed Check
114,Bank Transfer(automatic)
115,Mailed Check
116,Credit Card (automatic)
117,Mailed Check
118,Electronic Check
119,Electronic Check
120,Electronic Check
121,Credit Card (automatic)
122,Credit Card (automatic)
123,Mailed Check
124,Bank Transfer(automatic)
125,Credit Card (automatic)
126,Bank Transfer(automatic)
127,Electronic Check
128,Bank Transfer(automatic)
129,Electronic Check
130,Mailed Check
131,Mailed Check
132,Mailed Check
133,Bank Transfer(automatic)
134,Mailed Check
135,Bank Transfer(automatic)
136,Electronic Check
137,Bank Transfer(automatic)
138,Bank Transfer(automatic)
139,Mailed Check
140,Electronic Check
141,Electronic Check
142,Bank Transfer(automatic)
143,Bank Transfer(automatic)
144,Credit Card (automatic)
145,Electronic Check
